ISO3,Country,Year,Underweight_Pct,HealthyWeight_Pct,Overweight_Pct,Obesity_Pct,Class1_Obesity_Pct,Class2_Obesity_Pct,Morbid_Obesity_Pct,Diabetes_Pct,Diabetes_Treated_Pct,Hypertension_Pct,Hypertension_Diagnosed_Pct,Hypertension_Treated_Pct,Hypertension_Controlled_Pct,Untreated_Stage2_Pct,Dietary_Energy_kcal,Fat_g,Protein_g,Food_Imports_Export_Value_Pct,Population,Population_Thousands,Population_Density,Median_Age,Population_Growth_Rate
PYF,French Polynesia,2008,1.40625415210179,22.84030084473973,30.127331909668122,42.511526074922216,23.0592088743752,12.17941450974313,7.2729026908038605,0.1597090439148615,0.2807674668386255,0.382239884548525,0.3669430673195365,0.287931907617511,0.0955105102733484,0.242363140021651,2779.0,124.1,99.9,200.0,268379.0,268.379,72.85,26.871,0.416
PYF,French Polynesia,2009,1.39525296623545,22.72276327347657,29.836201541177722,42.946531151114144,23.066584674622952,12.35194364881294,7.5280028276782405,0.160108538994738,0.2849054118095025,0.3870875893872875,0.3729568040591094,0.290594731672162,0.0974517732840772,0.243123301911992,2783.0,122.0,100.9,222.0,269481.0,269.481,73.149,27.278,0.404
PYF,French Polynesia,2010,1.38643109080186,22.604042689239208,29.53624484557929,43.38712325250489,23.06843330871459,12.52398535658103,7.79470458720925,0.1603303171404365,0.2893796372619075,0.391839248624957,0.379053088621523,0.2930094187800975,0.0993608259922202,0.2440360978274744,2867.0,120.3,103.0,230.0,270580.0,270.58,73.447,27.678,0.409
PYF,French Polynesia,2011,1.37992104520267,22.483428083507228,29.228142068675076,43.83405064614534,23.062201824923388,12.69844602784703,8.07340279337491,0.1605333341599439,0.294051580794556,0.3963709329143625,0.3850452523720855,0.2951464411897915,0.1013417241460536,0.2450869667802635,2864.0,116.9,105.3,240.0,271727.0,271.727,73.759,28.068,0.436
PYF,French Polynesia,2012,1.37545907529137,22.35880592039046,28.912905768183677,44.28852460670238,23.049350674956077,12.87667819345287,8.36249573829341,0.1606442922037865,0.298949225283622,0.400587434441384,0.39097049903254,0.2969777869232085,0.1033703447612669,0.2462971492787075,2856.0,117.0,105.4,248.0,273084.0,273.084,74.127,28.456,0.559
PYF,French Polynesia,2013,1.3728091418723098,22.230216807047178,28.590772216313493,44.75066417235498,23.029125345974542,13.059058725385519,8.6624801009949,0.1607292529713655,0.3040156987249655,0.4045044295294165,0.3968716731597485,0.298541633749679,0.1055830392162497,0.247695952443698,2860.0,117.0,105.5,256.0,274728.0,274.728,74.573,28.882,0.641
PYF,French Polynesia,2014,1.37189230916317,22.09476643135788,28.26375930528957,45.22167046823337,23.0016226031614,13.2476312005782,8.97241666449375,0.1608468399479845,0.309248358025869,0.4082101003904215,0.402751747801236,0.2998496211327975,0.107905479932143,0.2492889034027655,2830.0,117.6,105.4,256.0,276387.0,276.387,75.024,29.351,0.564
PYF,French Polynesia,2015,1.37325322304091,21.95057032900862,27.93107720881861,45.70325105002719,22.96626747175394,13.444411617913628,9.29257196035961,0.16103595050317,0.314596553050208,0.4118022541934465,0.4084596679142644,0.300930789946369,0.110341242821476,0.2510709940815895,2826.0,116.6,104.6,235.0,277866.0,277.866,75.425,29.836,0.503
PYF,French Polynesia,2016,1.37685410380766,21.79817157202376,27.58895893086034,46.19854055288991,22.92404952888161,13.649514184214459,9.62497683979382,0.161429939162435,0.3199734785705225,0.4153258054673819,0.4140798314968255,0.3020496550567985,0.112943882418462,0.2529478822834575,2789.0,114.8,103.4,237.0,279178.0,279.178,75.781,30.337,0.439
PYF,French Polynesia,2017,1.38319363608728,21.64492136999297,27.2393047605411,46.69729913202887,22.86684130110572,13.86163699053659,9.96882084038654,0.1619712878767185,0.325447436747513,0.4189035259624375,0.419380459825634,0.3028593863607475,0.1155820902599645,0.2550466253980185,2772.0,113.4,103.0,235.0,280087.0,280.087,76.028,30.896,0.212
PYF,French Polynesia,2018,1.39214562623525,21.49329417397136,26.88455825096125,47.19492525476847,22.79608698592369,14.077123647683578,10.32171462116119,0.1626677594321975,0.33097916755528,0.422449613503759,0.424622630954192,0.303801960112575,0.1186741736346705,0.2572776596473395,2763.0,112.7,102.8,265.0,279815.0,279.815,75.954,31.632,-0.406
PYF,French Polynesia,2019,1.40383916398148,21.34341753464895,26.52338342343689,47.69222547388095,22.71244607172325,14.29524248580925,10.68453691634845,0.163571317702731,0.336642359736618,0.4260609847054675,0.4298698392117019,0.3048655072715149,0.1221815314251565,0.2596231300475959,2820.0,114.9,103.3,298.0,279034.0,279.034,75.742,32.428,-0.154
PYF,French Polynesia,2020,1.41793560465956,21.19020980628002,26.155571293700454,48.195039558571764,22.62029397980331,14.51776371540926,11.05698186335917,0.1646401593672145,0.3423722045383415,,,,,,2864.0,116.8,103.2,326.0,279209.0,279.209,75.79,33.035,0.279
PYF,French Polynesia,2021,1.4343619256259699,21.035441519235672,25.78253549160475,48.70036603532864,22.52092743935106,14.74194026756262,11.43749832841494,0.1658818983021135,0.3482143064942355,,,,,,2889.0,118.9,104.2,353.0,279792.0,279.792,75.948,33.562,0.138
PYF,French Polynesia,2022,1.45323896376031,20.87761259185299,25.40251988573572,49.211692606445936,22.41710216569455,14.96800409865631,11.82658634209505,0.167322860395393,0.354083853175697,,,,,,2881.0,,,303.0,280378.0,280.378,76.107,34.16,0.28
PYF,French Polynesia,2023,1.4739999394737,20.71743088767826,25.016708687498628,49.72721797803425,22.30981951178308,15.19320703381942,12.22419143243174,,,,,,,,2973.0,,,,281118.0,281.118,76.308,34.791,0.247
PYF,French Polynesia,2024,1.4965448726600101,20.55603329298991,24.628458522404788,50.24285199160888,22.198864375619078,15.41804616681332,12.62594144917647,,,,,,,,,,,,,,,,
SLB,Solomon Islands,1980,6.448471338930959,48.66808413926107,26.36868829368843,11.142440881123331,8.37250839515743,2.27356464310007,0.49636784286582997,,,,,,,,,,,,238135.0,238.135,8.27,14.768,3.486
SLB,Solomon Islands,1981,6.26619263087523,48.59997119067009,26.575549341980192,11.33169757611169,8.51475448660433,2.30735997117472,0.50958311833264,,,,,,,,,,,,246555.0,246.555,8.562,14.797,3.464
SLB,Solomon Islands,1982,6.08695818693209,48.517496769336084,26.7812389905911,11.53026028942339,8.66115050283415,2.34441439083595,0.52469539575328,,,,,,,,,,,,255200.0,255.2,8.862,14.844,3.428
SLB,Solomon Islands,1983,5.912432445423979,48.4189372175595,26.98542028505469,11.73866273837462,8.81251442199604,2.38441189913995,0.5417364172386,,,,,,,,,,,,264068.0,264.068,9.17,14.907,3.404
SLB,Solomon Islands,1984,5.74241798259159,48.30336335569795,27.19092692257362,11.95501321646964,8.9676051940516,2.42686727109094,0.5605407513270799,,,,,,,,,,,,273163.0,273.163,9.486,14.98,3.368
SLB,Solomon Islands,1985,5.57755046746637,48.1722324657352,27.397589904464393,12.17787801671281,9.125084008538149,2.47178593092822,0.58100807724642,,,,,,,,,,,,282455.0,282.455,9.809,15.063,3.324
SLB,Solomon Islands,1986,5.417014420066351,48.02667553524899,27.604274148303798,12.40758111659772,9.285007112476421,2.51932095744508,0.6032530466762,,,,,,,,,,,,291842.0,291.842,10.135,15.163,3.216
SLB,Solomon Islands,1987,5.26056157938459,47.86664562987027,27.81044351009224,12.64475818001988,9.448293060599031,2.56914208643076,0.62732303299007,,,,,,,,,,,,301414.0,301.414,10.467,15.263,3.238
SLB,Solomon Islands,1988,5.10919343446501,47.693362785279255,28.015476838037923,12.88791019079267,9.613994556202229,2.62073485669878,0.65318077789165,,,,,,,,,,,,311265.0,311.265,10.809,15.373,3.195
SLB,Solomon Islands,1989,4.96306728397056,47.511286928955734,28.216996105668652,13.13508980131854,9.78048136160885,2.67386914433038,0.6807392953793,,,,,,,,,,,,321282.0,321.282,11.157,15.515,3.141
SLB,Solomon Islands,1990,4.82167689247953,47.321245591845376,28.416265633854533,13.38367569040436,9.94530925934764,2.72845381068112,0.70991262037559,0.0656542762255738,0.2029202708235234,0.249744255871119,0.2079636908097485,0.1105977452985312,0.0311295616440224,0.3028161089752095,,,,,331435.0,331.435,11.51,15.675,3.083
SLB,Solomon Islands,1991,4.685134692764921,47.12839706907505,28.60881392465895,13.63321004148011,10.108296783298611,2.7839467774370097,0.74096648074447,0.0666437414538735,0.200645381789766,0.2470965136887404,0.2092914571864595,0.1102600445818301,0.0303255853664298,0.299052062797662,,,,,341738.0,341.738,11.868,15.844,3.041
SLB,Solomon Islands,1992,4.55367035535202,46.93596386103554,28.79175106518485,13.882682211965019,10.26890294537737,2.84011823584433,0.7736610307433,0.0676179181577655,0.1983898782363224,0.2445967635313889,0.2108663256278569,0.110137629718603,0.0297679104807922,0.295323661428517,,,,,352205.0,352.205,12.231,16.011,2.993
SLB,Solomon Islands,1993,4.42677246441873,46.744242274804684,28.966245776541548,14.131315531549221,10.42655388952495,2.89719055708549,0.80757108493875,0.0686118923884357,0.19615939780952,0.2422368703353665,0.2125692067468965,0.1102405800146943,0.0294587843440172,0.2917249694308714,,,,,362839.0,362.839,12.6,16.171,2.956
SLB,Solomon Islands,1994,4.30500098103629,46.54867011252326,29.133232120874343,14.381648496916391,10.58312474282323,2.95560070723183,0.84292304686132,0.0696392780662129,0.1939582556232325,0.2399878283957135,0.2144714776210565,0.1105395212507646,0.0293847634284091,0.288226035925485,,,,,373675.0,373.675,12.977,16.321,2.93
SLB,Solomon Islands,1995,4.18742410507262,46.348418430490554,29.29314993064964,14.635486096063099,10.739465720881372,3.01646034057719,0.87956003460452,0.0706874097626319,0.191771607656428,0.2379116877859335,0.216513974233667,0.1110779058524888,0.0295322024739653,0.2848627261816955,,,,,384733.0,384.733,13.361,16.461,2.903
